English,Icelandic,slang or not
2 dependent sample t-test,t-próf tveggja háðra úrtaka
2 independent sample t-test,t-próf tveggja óháðra úrtaka
2 paired sample t-test,t-próf tveggja háðra úrtaka
abolished,afnumið
abstract,huglæg
abundant,gnótt
acacia,akacía
academic progress,námsframvindu
accepted,viðtekinn
accidental gap,tilviljunargat
accordance,samræmi
accounting,bókhald
account,reikningur
accounts payable,viðskiptaskuldir
accounts receivable,viðskiptakröfur
accuracy,hittni
accuracy,nákvæmni
acoustic analysis,hljóðgreining
acoustics,eðlisfræðilegir þættir málhljóða
acquiescence,samþykkishneigðar
action movie,hasarmyndir
advanced discourse processing,þróuð orðræðuaðferð
advancement,frami
agreed upon,umsamið
agreement,samræmi
airfryer, loftsteikingarpottur, not slang
aligned,samröðun
alignment,samröðun orða
alignment,samröðun setninga
alignment,samskipun
all of one's possessions, aleiga
alliance,fylking
allophones,hljóðbrigði
alone,einsamall
always, ávallt
amateur,fúskari
amazing,þvílík
ambiguity,margræðni
amusement park,tívolí
Analysis of variance,dreifigreining
annoyed,ergilegur
annotated corpus,mörkuð málheild
annual financial statement,ársreikningur
anonymity,nafnleynd
answer extraction,útdráttur svara
API,API
API,forritaskil
application area,verkbúnaðarsvið
application environment,verkbúnaðarumhverfi
application,forrit
application program interface,api
application program interface,forritaskil
application,verkbúnaður
Aquarius,Vatnsberi
áramótaskaup, áramótaskaup, not slang
Arctic Poppy, Melasól
argument definitions,rökliðagreining
Aries,Hrútur
arrangement,ráðstafanir
arrogance,hroki
arrogance,yfirlæti
arrogant,yfirlætislegur
articulation,myndun málhljóða
arytenoid,könnubrjósk
asset,eign
assignment,verkefni
assimilation,samlögun
Association of Businesswomen in Iceland, Félag Kvenna í Atvinnulífinu, not slang
at an angle,á ská
atheist,guðleysingi
attend to,hjúfraði
attest,votta
attribute,eigind
attribute,eiginleiki
audio file,hljóskrá
audit,endurskoðun
authoring support,ritstoð
authoring support software,ritstoðarforrit
authoring support systems,ritstoðarkerfi
authoring tools,ritstoðartól
authoritatively,munduglega
auto-correlation,sjálfvirku fylgni
automatic continuous speech recognition ,sjálvirk orðaflaumskennsl
automatic hyperlinking,sjálfvirk tenglasetning
automatic language identification,sjálfvirk tungumálskennsl
automatic rule-based parser,sjálfvirkum regluþáttara
automatic text summarization,vélrænn útdráttur
automobile inspection,bifreiðaskoðun
available,liggja fyrir
available,ráðstöfun
avaricious, nískur
awareness,vitund
awkwardly,klaufalega,
babe,beib,slang
background noise,bakgrunnshávaða
backoff,íhörfun
backward chaining,afturkeðjun
backward chaining,bakkeðjun
bactracking,rakning
badger, greifingja, not slang
bad mood,fýla
bad mood,ólund
bag,skjóða
baguette,snittubrauð
baguette,franskbrauð
balance sheet,efnahagsreikningur
baseball,hornabolti
baseline,beislínu
baseline,grunnlína
bat, kylfa
battle, bardagi
beast,skíthæll
beaten, laminn
become reasonable, vitkast
bed,rekkja
before,fyrirfram
beginner,viðvaningur
behavior,umgengni
belonged,tilheyrði
beluga,mjaldur
be lowered slowly, síga
bequeath,arfleiða
Bergen, Björgvin,not slang
beside,við hliðina á
best estimate, matskennd fjáhæð
bibliography,heimildaöflun,not slang
bibliography,heimildaskrá,not slang
bidirectional tagger,tvístefnumarkari
bigram,tvennd
bigram,tvístæða
bilingual text corpus,tvímála málheild
binturong,svartur bjarnköttur
birch,björk
biting midge,lúsmý,not slang
blinds,gluggatjöld
blizzard,blindbylur
blizzard,hríðarbylur
bloated,bólginn
blunt,sljóvga
bootstrapping approach,gagnkvæm hringrás
bootstrapping approach,sjálfkvæm nálgun
bottom-up,neðansækinn
boulder,grjótglíma
boulder,hnullungur
bow, hneigði
boy, snáði
brave,hugdjarfur
brave, hugprúður
break free, sleit
brill type tagger,markari brills
brooch, brjóstnál
broom,sópur
broom,lyng
bulldozer,jarðýta
bully,dólgur
bum,róni
bumper,högghlíf
