English,Icelandic,Course,Source Material
sensibly,skynsamlega,Íslandssaga,Íslandssaga í stuttu máli
self-sufficiency,sjálfsbjarga,Íslandssaga, Íslandssaga í stuttu máli
compared with,miðað við,Íslandssaga, Íslandssaga í stuttu máli
pursue,stundaðar,Íslandssaga, Íslandssaga í stuttu máli
fishing village,verstöðvum,Íslandssaga, Íslandssaga í stuttu máli
cereal,korn,Íslandssaga, Íslandssaga í stuttu máli
on the southside,sunnanvert,Íslandssaga, Íslandssaga í stuttu máli
raise livestock,kvikfjárrækt,Íslandssaga, Íslandssaga í stuttu máli
farm,býli,Íslandssaga, Íslandssaga í stuttu máli
abolished,afnumið,Íslandssaga, Íslandssaga í stuttu máli
