Icelandic,English
kynsegin,non-binary sexuality
eikynhneigð,asexuality
eikynhneigð,ace
intersex,intersex
fjölkynhneigð,polisexuality
fjölkynhneigð,polysexuality
tvíkynhneigð,bisexuality
karlkynhneigð,androsexuality
kvenkynhneigð,gynosexuality
viðbein,clavicle
viðbein,collarbone
viðbein,keybone
axlarvöðvi,shoulder muscle
axlarvöðvi,deltoid muscle
þríhöfði,triceps
tvíhöfði,biceps
vöðvafruma,muscle cell
hjartavöðvi,cardiac muscle
vöðvaþráður,muscle fiber
ertanleiki,excitability
ertanleiki,irritability
sjalvöðvi,trapezius
platysma,hálsflatningur
m. pectoralis major,stóri brjóstvöðvi
lats,bakbreiðavöðvi
sternocleidomastoid muscle,höfuðvendir
anxiolytic,kvíðastillandi
