English, Icelandic, location
reaction, viðbragð, chapter 5
to growl, urra, chapter 5
to hiss, hvæsa, chapter 5
delicately, fimlega, chapter 5
shore, fjara, chapter 6
fire, bál, chapter 6
in need, áttu bágt, chapter 6
to revive, lífga, chapter 6
to echo, bermála, chapter 6
spark, neistaflug, chapter 6
velvet, flauel, chapter 7
two-story, tvílyftur, chapter 1
to cry, grenja, chapter 7
the blow, höggið, chapter 7
battle, bardagi, chapter 7
drunkard, fyllibytta, chapter 8
total darkness, kolniðamyrkur, chapter 8
glinted, glitti, chapter 8
beaten, laminn, chapter 8
scoundrel, fantur, chapter 8
smart, snidugt, chapter 8
