English, Icelandic, location
reaction, viðbragð, chapter 5
to growl, urra, chapter 5
to hiss, hvæsa, chapter 5
delicately, fimlega, chapter 5
shore, fjara, chapter 6
fire, bál, chapter 6
in need, áttu bágt, chapter 6
to revive, lífga, chapter 6
to echo, bermála, chapter 6
spark, neistaflug, chapter 6
velvet, flauel, chapter 7
two-story, tvílyftur, chapter 1
to cry, grenja, chapter 7
the blow, höggið, chapter 7
battle, bardagi, chapter 7
drunkard, fyllibytta, chapter 8
total darkness, kolniðamyrkur, chapter 8
glinted, glitti, chapter 8
beaten, laminn, chapter 8
scoundrel, fantur, chapter 8
smart, snidugt, chapter 8
narrative, frasögnin, chapter 10
happiness, sæla, chapter 10
spurt, bunu, chapter 10
nicknamed, uppnefndu, chapter 10
giggling, skríkjandi, chapter 10
fear, ógnin, chapter 10
invincible, ósigrandi, chapter 10
seems, virtist, chapter 10
always, ávallt, chapter 10
motorscooter, skellinöðruna, chapter 10
polished, bónað, chapter 10
neighborhood, grennd, chapter 10
premonition, hugboð, chapter 11
ready, viðbúinn, chapter 11
jolted, hrökk, chapter 11
wide-awake, glaðvaknaði, chapter 11
paralyzed, lamaðist, chapter 11
distance, fjarska, chapter 11
break free, sleit, chapter 11
sentenced to die, dauðadæmd, chapter 11
grind, gnísti, chapter 11
flame, logana, chapter 11
pile, hrúgu, chapter 11
brave, hugprúður, chapter 11
suddenly, snögglega, chapter 11
small pancake, lumma, chapter 11
open, ber, chapter 14
