English,Icelandic
12-step meeting,tólfspora fundi
2 dependent sample t-test,t-próf tveggja háðra úrtaka
2FA,tvíþættur auðkenni
2 independent sample t-test,t-próf tveggja óháðra úrtaka
2 paired sample t-test,t-próf tveggja háðra úrtaka
4-step process,fimm skrefa líkan
abandon,yfirgefa
ABC activity based costing,verkþáttatengda kostnaðarútreikninga
ABC analysis,verkgrundaður kostnaðarreikningur
abdomen,kviður
a bit,nokkru
able to compete,samkeppnishæft
abode,sel
abolished,afnumið
above mean sea level,hæð yfir sjávarmáli
above mean sea level,h.y.s.
above,umfram
absence,fjarvera
absent,fjarvera
absent,fjarverandi
absolutely everywhere,úði og grúði af
absolutely right,hárréttur
absolutely,upp á hár
absorbed overhead,álagður óbeinn kostnaður
absorb,meðtaka
absorb,soga
abstract,huglæg
absurd,fjarstæður
absurd,hlægilegur
absurdly,fáránlega
abundant,gnótt
abused,misnotaði
abuse,misbeiting
abuse,misnotar
abuse,ofbeldi
acacia,akacía
academic calendar,kennslualmanak
academic progress,námsframvindu
acceptable,viðunandi
acceptance,viðurkenning
accept an invitation,að þiggja boð
accepted,samþykk
accepted,viðtekinn
accepted,viðurkennt
accept,þiggja
accidental gap,tilviljunargat
accomplish,afreka
accomplishment,afrek
accordance,samræmi
according to,(skv.) samkvæmt
accountant,bókarar
accounting,bókhald
account,reikningur
account,skýrslur
accounts payable,viðskiptaskulda
accounts payable,viðskiptaskuldir
accounts receivable turnover,veltuhraði viðskiptakrafna
accounts receivable,viðskiptakröfur
accredited,viðurkennt
accrued,áfallinn
accuracy,hittni
accuracy,nákvæmni
accurate,gaumgæfilegur
accusation,ásökun
accuse,kæra
ace,eikynhneigð
ache,verkir
ache,verkur
achievement,afrek
achievement,frammistaða
acidity,sýrustig
acid test ratio,lausafjárhlutfall
acknowledgement,viðurkenning
acoustic analysis,hljóðgreining
acoustics,eðlisfræðilegir þættir málhljóða
acquiescence,samþykkishneigðar
acquire,tileinka
acquisition,fengur
acquisitions,aðföng
acquis,réttarregla
acquit,sýknaður
a creature from Icelandic folklore summoned with magic to milk others' sheep and cows,tilberi
acrobatics,fimleikar
acrobatics,loftfimleikar
across from,gagnvart
across,þver
act,athafnir
action,athafnir
action movie,hasarmyndir
actions,gjörðum
activate,gangsetja
active,aktíf
activities,athafnir
activities,starfsemi
Activity Based Costing,ABC
Activity Based Costing,ABC-aðferð
Activity Based Costing,ABC-kostnaðargreining
Activity Based Costing,ABC kostnaðargreiningu
activity,iðja
activity level,rekstrarumsvifum
activity,starfsemi
activity,verkþáttur
activity,virkni
act of law,löggerningur
actual cost,raunkostnaður
actually,eiginlega
actually,nefnilega
actually,sem sagt
acupuncture,nálastungur
adaptable,aðlögunarhæf
adapter,millistykki
adapt,samhæfa
a dash,slæðingur
addict,fíkilsins
